1     2     3     4     5     6     7     8     9    10    11    12    13
1     2     5     4     3     7     6     9     8    10    13    12    11
1     3     2     5     4     8     7     6     9    11    10    13    12
1     3     4     5     2     7     8     9     6    11    12    13    10
1     4     3     2     5     9     8     7     6    12    11    10    13
1     4     5     2     3     8     9     6     7    12    13    10    11
1     5     2     3     4     9     6     7     8    13    10    11    12
1     5     4     3     2     6     9     8     7    13    12    11    10
1    10    11    12    13     6     7     8     9     2     3     4     5
1    10    13    12    11     7     6     9     8     2     5     4     3
1    11    10    13    12     8     7     6     9     3     2     5     4
1    11    12    13    10     7     8     9     6     3     4     5     2
1    12    11    10    13     9     8     7     6     4     3     2     5
1    12    13    10    11     8     9     6     7     4     5     2     3
1    13    10    11    12     9     6     7     8     5     2     3     4
1    13    12    11    10     6     9     8     7     5     4     3     2
